phecode,phecode_string,category,category_num
CA_102.5,"Malignant neoplasm of the heart, mediastinum, thymus, and pleura",Neoplasms,2
CA_102.51,Malignant neoplasm of the heart,Neoplasms,2
CA_102.52,Malignant neoplasm of the mediastinum,Neoplasms,2
CA_102.53,Malignant neoplasm of the of pleura,Neoplasms,2
CA_102.54,Malignant neoplasm of the thymus,Neoplasms,2
CA_103,Malignant neoplasm of the skin,Neoplasms,2
CA_103.1,Melanomas of skin,Neoplasms,2
CA_103.21,Basal cell carcinoma,Neoplasms,2
CA_103.22,Squamous cell carcinoma of the skin,Neoplasms,2
CA_103.3,Carcinoma in situ of skin,Neoplasms,2
CA_104,Malignant sarcoma-related cancers,Neoplasms,2
CA_104.1,Malignant neoplam of the bone and/or cartilage,Neoplasms,2
CA_104.2,Malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,2
CA_104.3,Malignant neoplasm of connective and soft tissue,Neoplasms,2
CA_104.4,Malignant neoplasm of peripheral nerves,Neoplasms,2
CA_104.5,Gastrointestinal stromal tumor,Neoplasms,2
CA_104.6,Kaposi's sarcoma,Neoplasms,2
CA_105,Malignant neoplasm of the breast,Neoplasms,2
CA_105.1,"Malignant neoplasm of the breast, female",Neoplasms,2
CA_105.2,"Malignant neoplasm of the breast, male",Neoplasms,2
CA_106,Gynecological malignant neoplasms,Neoplasms,2
CA_106.11,Malignant neoplasm of the vulva,Neoplasms,2
CA_106.12,Malignant neoplasm of the vagina,Neoplasms,2
CA_106.13,Malignant neoplasm of the cervix,Neoplasms,2
CA_106.2,Malignant neoplasm of the uterus,Neoplasms,2
CA_106.21,Malignant neoplasm of endometrium,Neoplasms,2
CA_106.3,Malignant neoplasm of the ovary,Neoplasms,2
CA_106.4,Malignant neoplasm of the fallopian tube and uterine adnexa,Neoplasms,2
CA_106.6,Malignant neoplasm of the placenta,Neoplasms,2
CA_107,Malignant neoplasm of male genitalia,Neoplasms,2
CA_107.1,Malignant neoplasm of the penis,Neoplasms,2
CA_107.2,Malignant neoplasm of the prostate,Neoplasms,2
CA_107.3,Malignant neoplasm of the testis,Neoplasms,2
CA_107.4,Malignant neoplasm of epididymis,Neoplasms,2
CA_107.5,Malignant neoplasm of spermatic cord,Neoplasms,2
CA_107.6,Malignant neoplasm of the scrotum,Neoplasms,2
CA_108,Malignant neoplasm of the urinary tract,Neoplasms,2
CA_108.4,Malignant neoplasm of the kidney,Neoplasms,2
CA_108.41,"Malignant neoplasm of kidney, except pelvis",Neoplasms,2
CA_108.42,Malignant neoplasm of renal pelvis,Neoplasms,2
CA_108.5,Malignant neoplasm of the bladder,Neoplasms,2
CA_108.6,Malignant neoplasm of urethra,Neoplasms,2
CA_108.7,Malignant neoplasm of ureter,Neoplasms,2
CA_109,"Malignant neoplasm of the eye, brain and other parts of central nervous system",Neoplasms,2
CA_109.1,Malignant neoplasm of eye,Neoplasms,2
CA_109.11,Malignant neoplasm of orbit,Neoplasms,2
CA_109.12,Malignant neoplasm of lacrimal gland and duct,Neoplasms,2
CA_109.13,Malignant neoplasm of conjunctiva,Neoplasms,2
CA_109.14,Malignant neoplasm of cornea,Neoplasms,2
CA_109.15,Malignant neoplasm of retina,Neoplasms,2
CA_109.16,Malignant neoplasm of choroid,Neoplasms,2
CA_109.2,Malignant neoplasm of meninges,Neoplasms,2
CA_109.3,Malignant neoplasm of brain,Neoplasms,2
CA_109.4,Malignant neoplasm of spinal cord,Neoplasms,2
CA_109.5,Malignant neoplasm of cranial nerve,Neoplasms,2
CA_110,Malignant neoplasm of the endocrine glands,Neoplasms,2
CA_110.1,Malignant neoplasm of the thyroid,Neoplasms,2
CA_110.3,Malignant neoplasm of the parathyroid gland,Neoplasms,2
CA_110.4,Malignant neoplasm of the pituitary gland and craniopharyngeal duct,Neoplasms,2
CA_110.5,Malignant neoplasm of the pineal gland,Neoplasms,2
CA_112,Malignant neoplasm of other and ill-defined sites,Neoplasms,2
CA_112.1,Mesothelioma,Neoplasms,2
CA_114,Neuroendocrine tumors,Neoplasms,2
CA_114.1,Malignant neuroendocrine tumors,Neoplasms,2
CA_114.11,Exocrine pancreatic cancer,Neoplasms,2
CA_114.12,Merkel cell carcinoma,Neoplasms,2
CA_114.2,Benign neuroendocrine tumors,Neoplasms,2
CA_114.4,Carcinoid tumors,Neoplasms,2
CA_114.41,Intestinal carcinoid,Neoplasms,2
CA_114.42,Carcinoid tumor of the bronchus and lung,Neoplasms,2
CA_114.43,Carcinoid tumor of the thymus,Neoplasms,2
CA_114.44,Carcinoid tumor of the stomach,Neoplasms,2
CA_114.45,Carcinoid tumor of the kidney,Neoplasms,2
CA_114.5,Paraganglioma,Neoplasms,2
CA_114.6,Pheochromocytoma,Neoplasms,2
CA_116,Secondary malignant neoplasm,Neoplasms,2
CA_120,Hemo onc - by cell of origin,Neoplasms,2
CA_120.1,Myeloid,Neoplasms,2
CA_120.11,Plasma cell,Neoplasms,2
CA_120.12,Monocyte,Neoplasms,2
CA_120.13,Erythroid,Neoplasms,2
CA_120.14,Megakaryoblast,Neoplasms,2
CA_120.15,Mast cell,Neoplasms,2
CA_120.2,Lymphoid,Neoplasms,2
CA_120.21,Mature B-cell,Neoplasms,2
CA_120.22,Mature T-Cell,Neoplasms,2
CA_120.3,Histocytoces,Neoplasms,2
CA_121,Leukemia,Neoplasms,2
CA_121.1,Acute leukemia,Neoplasms,2
CA_121.11,Acute lymphoid leukemia,Neoplasms,2
CA_121.12,Acute myeloid leukemia,Neoplasms,2
CA_121.2,Chronic leukemia,Neoplasms,2
CA_121.21,Chronic lymphoid leukemia,Neoplasms,2
CA_121.22,Chronic myloid leukemia,Neoplasms,2
CA_121.23,Chronic myelomonocytic (monocytic) leukemia,Neoplasms,2
CA_122,Lymphoma,Neoplasms,2
CA_122.1,Hodgkin lymphoma,Neoplasms,2
CA_122.11,Nodular sclerosis Hodgkin lymphoma,Neoplasms,2
CA_122.2,Non-Hodgkin lymphoma,Neoplasms,2
CA_122.21,Follicular lymphoma,Neoplasms,2
CA_122.22,Diffuse large B-cell lymphoma,Neoplasms,2
CA_122.23,Burkitt lymphoma,Neoplasms,2
CA_122.24,T-cell lymphoma,Neoplasms,2
CA_122.25,Anaplastic large cell lymphoma,Neoplasms,2
CA_122.26,"Extranodal NK/T-cell lymphoma, nasal type",Neoplasms,2
CA_123,Multiple myeloma and malignant plasma cell neoplasms,Neoplasms,2
CA_123.1,Multiple myeloma,Neoplasms,2
CA_124,Myeloproliferative disorder,Neoplasms,2
CA_124.3,Polycythemia vera,Neoplasms,2
CA_124.5,Essential thrombocythemia,Neoplasms,2
CA_124.6,Myelodysplastic syndrome,Neoplasms,2
CA_124.7,Chronic myeloproliferative disease,Neoplasms,2
CA_124.8,Myelofibrosis,Neoplasms,2
CA_125,"Other malignant neoplasms of lymphoid, hematopoietic and related tissue",Neoplasms,2
CA_125.1,Cutaneous mastocytosis,Neoplasms,2
CA_128,Estrogen receptor status,Neoplasms,2
CA_128.1,Estrogen receptor postitive status [ER+],Neoplasms,2
CA_128.2,Estrogen receptor negative status [ER-],Neoplasms,2
CA_130,"Cancer (solid tumor, excluding BCC)",Neoplasms,2
CA_132,Sequelae of cancer,Neoplasms,2
CA_135,Benign neoplasm of the head and neck,Neoplasms,2
CA_135.1,Benign neoplasm of the oral cavity,Neoplasms,2
CA_135.11,Benign neoplasm of the lip,Neoplasms,2
CA_135.12,Benign neoplasm of the tongue,Neoplasms,2
CA_135.14,Benign neoplasm of the floor of mouth,Neoplasms,2
CA_135.16,Benign neoplasm of the salivary glands,Neoplasms,2
CA_135.2,Benign neoplasm of the oropharynx,Neoplasms,2
CA_135.3,Benign neoplasm of the nasopharynx,Neoplasms,2
CA_135.4,Benign neoplasm of the hypopharynx,Neoplasms,2
CA_135.5,Benign neoplasm of the paranasal sinus and nasal cavity,Neoplasms,2
CA_135.6,Benign neoplasm of vocal cord or larynx,Neoplasms,2
CA_136,Benign neoplasm of the digestive organs,Neoplasms,2
CA_136.1,Benign neoplasm of the esophagus,Neoplasms,2
CA_136.2,Benign neoplasm of stomach,Neoplasms,2
CA_136.3,Benign neoplasm of the small intestine,Neoplasms,2
CA_136.4,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms,2
CA_136.41,Benign neoplasm of the colon,Neoplasms,2
CA_136.42,Benign neoplasm of rectum and anus,Neoplasms,2
CA_136.6,Benign neoplasm of the liver and intrahepatic bile ducts,Neoplasms,2
CA_136.61,Benign neoplasm of the liver,Neoplasms,2
CA_136.8,Benign neoplasm of the pancreas,Neoplasms,2
CA_137,Benign neoplasm of the thoracic and respiratory organs,Neoplasms,2
CA_137.1,Benign neoplasm of the of bronchus and lung,Neoplasms,2
CA_137.3,Benign neoplasm of the trachea,Neoplasms,2
CA_137.51,Benign neoplasm of the heart,Neoplasms,2
CA_137.52,Benign neoplasm of the mediastinum,Neoplasms,2
CA_137.53,Benign neoplasm of the of pleura,Neoplasms,2
CA_137.54,Benign neoplasm of the thymus,Neoplasms,2
CA_138,Benign neoplasm of the skin,Neoplasms,2
CA_138.1,"Nevus, non-neoplastic",Neoplasms,2
CA_138.2,Melanocytic nevi,Neoplasms,2
CA_139.1,Benign neoplams of the bone and/or cartilage,Neoplasms,2
CA_139.2,Benign neoplasm of retroperitoneum and peritoneum,Neoplasms,2
CA_139.3,Benign neoplasm of other connective and soft tissue,Neoplasms,2
CA_139.4,Benign neoplasm of peripheral nerves,Neoplasms,2
CA_139.5,Lipoma,Neoplasms,2
CA_139.51,Lipomatosis,Neoplasms,2
CA_139.52,Lipoma of intrathoracic organs,Neoplasms,2
CA_139.53,Lipoma of skin subcutaneous tissue,Neoplasms,2
CA_139.54,Testicular limpoma,Neoplasms,2
CA_139.6,Hemangioma and lymphangioma,Neoplasms,2
CA_139.61,Hemangioma,Neoplasms,2
CA_139.62,Lymphangioma,Neoplasms,2
CA_140,Benign neoplasm of the breast,Neoplasms,2
CA_142,Lump or mass in breast or nonspecific abnormal breast exam,Neoplasms,2
CA_142.1,Lump or mass in breast,Neoplasms,2
CA_142.2,Abnormal mammogram,Neoplasms,2
CA_142.21,Mammographic microcalcification,Neoplasms,2
CA_144,Gynecological benign neoplasms,Neoplasms,2
CA_144.11,Benign neoplasms of the vulva,Neoplasms,2
CA_144.12,Benign neoplasms of the vagina,Neoplasms,2
CA_144.13,Benign neoplasms of the cervix,Neoplasms,2
CA_144.2,Benign neoplasms of the uterus,Neoplasms,2
CA_144.21,Leiomyoma of uterus,Neoplasms,2
CA_144.3,Benign neoplasms of the ovary,Neoplasms,2
CA_144.4,Benign neoplasm of the fallopian tube and uterine adnexa,Neoplasms,2
CA_146,Benign neoplasm of male genital organs,Neoplasms,2
CA_146.1,Benign neoplasm of the penis,Neoplasms,2
CA_146.2,Benign neoplasm of the prostate,Neoplasms,2
CA_146.3,Benign neoplasm of the testis,Neoplasms,2
CA_146.31,Benign neoplasm of epididymis and spermatic cord,Neoplasms,2
CA_146.32,Benign neoplasm of the scrotum,Neoplasms,2
CA_147,Benign neoplasm of kidney and urinary organs,Neoplasms,2
CA_147.1,Benign neoplasm of the kidney,Neoplasms,2
CA_147.2,Benign neoplasm of ureter,Neoplasms,2
CA_147.3,Benign neoplasm of bladder,Neoplasms,2
CA_147.4,Benign neoplasm of urethra,Neoplasms,2
CA_148,"Benign neoplasm of the eye, brain and other parts of central nervous system",Neoplasms,2
CA_148.1,Benign neoplasm of eye,Neoplasms,2
CA_148.11,Benign neoplasm of orbit,Neoplasms,2
CA_148.12,Benign neoplasm of lacrimal gland and duct,Neoplasms,2
CA_148.13,Benign neoplasm of conjunctiva,Neoplasms,2
CA_148.14,Benign neoplasm of cornea,Neoplasms,2
CA_148.15,Benign neoplasm of retina,Neoplasms,2
CA_148.16,Benign neoplasm of choroid,Neoplasms,2
CA_148.2,Benign neoplasm of meninges (Meningioma),Neoplasms,2
CA_148.3,Benign neoplasm of brain,Neoplasms,2
CA_148.4,Benign neoplasm of spinal cord,Neoplasms,2
CA_148.5,Benign neoplasm of cranial nerve,Neoplasms,2
CA_149,Benign neoplasm of the endocrine glands,Neoplasms,2
CA_149.1,Benign neoplasm of the thyroid,Neoplasms,2
CA_149.3,Benign neoplasm of the parathyroid gland,Neoplasms,2
CA_149.4,Benign neoplasm of the pituitary gland and craniopharyngeal duct,Neoplasms,2
CA_149.5,Benign neoplasm of pineal gland,Neoplasms,2
CA_152,Benign neoplasm of lymph nodes,Neoplasms,2
CA_153,Benign neoplasm of other or unspecified sites,Neoplasms,2
BI_160,Deficiency anemias,Blood/Immune,3
BI_160.1,Iron deficiency anemia,Blood/Immune,3
BI_160.11,Iron deficiency anemia secondary to blood loss,Blood/Immune,3
BI_160.2,Megaloblastic anemia,Blood/Immune,3
BI_160.21,Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia],Blood/Immune,3
BI_160.22,Folate-deficiency anemia,Blood/Immune,3
BI_160.3,Protein-deficiency anemia,Blood/Immune,3
BI_161.2,Extrinsic (acquired) hemolytic anemias,Blood/Immune,3
BI_161.21,Autoimmune hemolytic anemias [AIHA],Blood/Immune,3
BI_161.22,Hemolytic-uremic syndrome,Blood/Immune,3
BI_161.23,Drug-induced hemolytic anemia,Blood/Immune,3
BI_162,Aplastic anemia,Blood/Immune,3
BI_162.1,Constitutional (hereditary) aplastic anemia,Blood/Immune,3
BI_162.2,Acquired pure red cell aplasia [erythroblastopenia],Blood/Immune,3
BI_162.3,Aplastic anemia due to drugs or other external agents,Blood/Immune,3
BI_162.4,Idiopathic aplastic anemia,Blood/Immune,3
BI_162.8,Pancytopenia,Blood/Immune,3
BI_162.81,Drug-induced pancytopenia,Blood/Immune,3
BI_164,Anemia,Blood/Immune,3
BI_164.1,Microcytic anemia,Blood/Immune,3
BI_164.2,Macrocytic anemia,Blood/Immune,3
BI_164.3,Acute posthemorrhagic anemia,Blood/Immune,3
BI_164.6,Anemia secondary to chronic diseases and conditions,Blood/Immune,3
BI_164.7,Myelophthisis,Blood/Immune,3
BI_164.8,Sideroblastic anemia,Blood/Immune,3
BI_168,"Coagulation defects, purpura and other hemorrhagic conditions",Blood/Immune,3
BI_168.1,Hypo-coagulability,Blood/Immune,3
BI_168.12,Hemorrhagic disorder due to intrinsic circulating anticoagulants,Blood/Immune,3
BI_168.15,Acquired coagulation factor deficiency,Blood/Immune,3
BI_168.18,Other nonthrombocytopenic purpura,Blood/Immune,3
BI_168.2,Hyper-coagulability,Blood/Immune,3
BI_168.21,Primary thrombophilia,Blood/Immune,3
BI_168.211,Activated protein C resistance,Blood/Immune,3
BI_168.213,Lupus anticoagulant syndrome,Blood/Immune,3
BI_168.214,Antiphospholipid syndrome,Blood/Immune,3
BI_168.22,Disseminated intravascular coagulation [Defibrination syndrome],Blood/Immune,3
BI_168.3,Spontaneous ecchymoses,Blood/Immune,3
BI_168.4,Abnormal coagulation profile,Blood/Immune,3
BI_169.1,Thrombocytopenia,Blood/Immune,3
BI_169.11,Immune thrombocytopenic purpura [ITP],Blood/Immune,3
BI_169.12,Evans syndrome,Blood/Immune,3
BI_169.13,Congenital and hereditary thrombocytopenic purpura,Blood/Immune,3
BI_169.14,Secondary thrombocytopenia,Blood/Immune,3
BI_169.15,Heparin-induced thrombocytopenia [HIT],Blood/Immune,3
BI_169.2,Qualitative platelet defects,Blood/Immune,3
BI_170,Decreased white blood cell count,Blood/Immune,3
BI_170.1,Neutropenia,Blood/Immune,3
BI_170.12,Drug induced neutropenia,Blood/Immune,3
BI_170.13,Neutropenia due to infection,Blood/Immune,3
BI_170.14,Cyclic neutropenia,Blood/Immune,3
BI_170.2,Lymphocytopenia,Blood/Immune,3
BI_171,Elevated white blood cell count [Leukocytosis],Blood/Immune,3
BI_171.1,Lymphocytosis (symptomatic),Blood/Immune,3
BI_171.2,Monocytosis (symptomatic),Blood/Immune,3
BI_171.3,Plasmacytosis,Blood/Immune,3
BI_171.4,Leukemoid reaction,Blood/Immune,3
BI_171.5,Basophilia,Blood/Immune,3
BI_171.6,Bandemia,Blood/Immune,3
BI_171.7,Eosinophilia,Blood/Immune,3
BI_171.71,Hypereosinophilic syndrome,Blood/Immune,3
BI_171.711,Idiopathic hypereosinophilic syndrome,Blood/Immune,3
BI_172,Other disorders of white blood cells,Blood/Immune,3
BI_172.1,Functional disorders of polymorphonuclear neutrophils,Blood/Immune,3
BI_172.3,Hemophagocytic syndromes,Blood/Immune,3
BI_174,Diseases of spleen,Blood/Immune,3
BI_174.1,Hyposplenism,Blood/Immune,3
BI_174.2,Splenomegaly,Blood/Immune,3
BI_174.21,Hypersplenism,Blood/Immune,3
BI_174.22,Chronic congestive splenomegaly,Blood/Immune,3
BI_174.23,Neutropenic splenomegaly,Blood/Immune,3
BI_174.5,Abscess of spleen,Blood/Immune,3
BI_174.6,Cyst of spleen,Blood/Immune,3
BI_174.7,Infarction of spleen,Blood/Immune,3
BI_175,Polycythemias,Blood/Immune,3
BI_175.2,Secondary polycythemia,Blood/Immune,3
BI_176,Other diseases of blood and blood-forming organs,Blood/Immune,3
BI_176.1,Thrombocytosis,Blood/Immune,3
BI_177,Abnormality of the lymph nodes,Blood/Immune,3
BI_177.1,Lymphadenitis,Blood/Immune,3
BI_177.11,Mesenteric lymphadenitis,Blood/Immune,3
BI_177.12,Chronic lymphadenitis,Blood/Immune,3
BI_177.13,Acute lymphadenitis,Blood/Immune,3
BI_177.2,Enlargement of lymph nodes [Lymphadenopathy],Blood/Immune,3
BI_177.3,Lymphangitis,Blood/Immune,3
BI_177.4,Lymphedema,Blood/Immune,3
BI_177.41,Hereditary lymphedema,Blood/Immune,3
BI_179,Immunodeficiencies,Blood/Immune,3
BI_179.1,Hypogammaglobulinemia NOS,Blood/Immune,3
BI_179.4,Selective deficiency of immunoglobulin A [IgA],Blood/Immune,3
BI_179.5,Selective deficiency of immunoglobulin M [IgM],Blood/Immune,3
BI_179.6,Selective deficiency of immunoglobulin G [IgG] subclasses,Blood/Immune,3
BI_179.7,Common variable immunodeficiency [CVID],Blood/Immune,3
BI_179.8,Immunodeficiency with increased IgM,Blood/Immune,3
BI_179.9,Immunodeficiency NOS,Blood/Immune,3
BI_180,Other disorders involving the immune mechanism,Blood/Immune,3
BI_180.2,Polyclonal hypergammaglobulinemia,Blood/Immune,3
BI_180.3,Paraproteinemias,Blood/Immune,3
BI_180.31,Monoclonal gammopathy,Blood/Immune,3
BI_180.33,Macroglobulinemia [Waldenstrom macroglobulinemia],Blood/Immune,3
BI_180.34,Heavy chain disease,Blood/Immune,3
BI_180.4,Cryoglobulinemia,Blood/Immune,3
BI_180.6,Mast cell activation syndrome [MCAS],Blood/Immune,3
BI_180.7,Cytokine release syndrome,Blood/Immune,3
BI_181,Autoimmune disease,Blood/Immune,3
EM_200,Disorders of thyroid gland,Endocrine/Metab,4
EM_200.1,Hypothyroidism,Endocrine/Metab,4
EM_200.11,Secondary hypothyroidism,Endocrine/Metab,4
EM_200.12,Hypothyroidism (not specified as secondary),Endocrine/Metab,4
EM_200.16,Myxedema,Endocrine/Metab,4
EM_200.2,Goiter,Endocrine/Metab,4
EM_200.21,Diffuse goiter,Endocrine/Metab,4
EM_200.22,Uninodular goiter [single thyroid nodule],Endocrine/Metab,4
